DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Albania,2022,143.435,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Austria,2022,2481.616,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Austria,2023,2402.800,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2022,3875.392,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Belgium,2022,2737.497,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Belgium,2023,2354.237,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Bulgaria,2022,6277.994,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Bulgaria,2023,3714.662,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Cyprus,2022,30.593,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Cyprus,2023,27.393,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Czechia,2022,13454.764,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Czechia,2023,10718.663,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Germany,2022,55683.123,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Germany,2023,42378.463,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Denmark,2022,1075.486,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Denmark,2023,702.730,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Estonia,2022,-4.544,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Estonia,2023,-0.412,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Greece,2022,1562.470,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Greece,2023,1179.098,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Spain,2022,3605.246,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Spain,2023,2768.231,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2022,162337.750,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2023,125588.082,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Finland,2022,2152.994,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Finland,2023,1716.788,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,France,2022,7460.915,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,France,2023,5999.148,
