DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Albania,2020,69.405,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Albania,2021,131.105,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Albania,2022,147.641,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Austria,2020,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Austria,2021,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Austria,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Austria,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2020,3328.714,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2021,3121.139,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2022,3347.580,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Belgium,2020,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Belgium,2021,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Belgium,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Belgium,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Bulgaria,2020,3732.391,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Bulgaria,2021,4698.652,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Bulgaria,2022,5898.978,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Bulgaria,2023,3491.047,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Cyprus,2020,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Cyprus,2021,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Cyprus,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Cyprus,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Czechia,2020,10173.618,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Czechia,2021,10475.149,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Czechia,2022,11375.953,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Czechia,2023,9711.743,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Germany,2020,23387.789,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Germany,2021,27543.709,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Germany,2022,28490.455,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Germany,2023,21881.357,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Denmark,2020,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Denmark,2021,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Denmark,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Denmark,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Estonia,2020,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Estonia,2021,0.000,
