DATAFLOW,LAST UPDATE,freq,product,nrg_cons,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2019-S2,0.1349,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2020-S1,0.1358,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2020-S2,0.1384,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2021-S1,0.1394,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2021-S2,0.1448,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2022-S1,0.1579,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2022-S2,0.2090,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2023-S1,0.2691,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2023-S2,0.2990,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2024-S1,0.2946,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2019-S2,0.1954,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2020-S1,0.1872,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2020-S2,0.1798,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2021-S1,0.1767,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2021-S2,0.2015,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2022-S1,0.2622,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2022-S2,0.3791,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2023-S1,0.3592,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2023-S2,0.2793,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2024-S1,0.2405,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2019-S2,0.0798,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2020-S1,0.0831,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2020-S2,0.0818,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2021-S1,0.0853,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2021-S2,0.0909,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2022-S1,0.0911,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2022-S2,0.0956,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2023-S1,0.0948,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2023-S2,0.0993,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2024-S1,0.0989,
